,Region,SbWtrshd,Site_ID,Date,Site_Visit,O,H,Opm,Hpm,P.18O.,P.2H.,Ps.18O.,Ps.2H.,met_station,rh,temp,EI,starO,starH,sslO,sslH,EO,EH,slope,input,IO,IH
19,Grassland,05CG,308,2015-05-07,1,-9.830948,-104.495252,-0.00983,-0.104495252,-0.018983333,-0.1465,-0.0135,-0.1045,Hand Hills,0.522903226,279.7209677,0.493582806,0.009974405,0.001039648,-0.00419318,-0.07748486,-0.030504673,-0.197249809,4.486385602,-60.39408153,-20.03466333,-150.2773066
20,Grassland,05CG,308,2015-05-20,2,-5.134009,-81.24204,-0.00513,-0.08124204,-0.018983333,-0.1465,-0.0135,-0.1045,Hand Hills,0.541548387,280.6274194,0.998158983,0.008158091,-0.008624798,-0.004600702,-0.079054813,-0.020109294,-0.15078176,4.642389643,-57.42658113,-20.08171704,-150.6537364
21,Grassland,05CG,312,2015-05-08,1,-11.21,-111.73175,-0.01121,-0.11173175,-0.01895,-0.146333333,-0.013475,-0.1045,Hand Hills,0.517645161,279.8435484,0.407782514,0.010499175,0.003370394,-0.004067447,-0.077171088,-0.033390018,-0.210571781,4.456264793,-61.77702167,-20.25462329,-152.0369863
22,Grassland,05CG,312,2015-05-20,2,-7.893964,-96.462272,-0.00789,-0.096462272,-0.01895,-0.146333333,-0.013475,-0.1045,Hand Hills,0.541548387,280.6274194,0.712397543,0.00818364,-0.008624798,-0.004571494,-0.078969675,-0.026009366,-0.18057719,4.642266148,-59.83479209,-20.79819163,-156.385533
23,Grassland,05CG,345,2015-05-08,1,-7.465322,-94.839631,-0.00747,-0.094839631,-0.018616667,-0.144083333,-0.013225,-0.103,Finnegan,0.527193548,280.6983871,0.729134956,0.00974877,-0.000711185,-0.004002826,-0.076235451,-0.025768412,-0.179400741,4.621226788,-60.31906689,-20.81201149,-156.4960919
24,Grassland,05CG,345,2015-05-19,2,-3.822555,-74.705891,-0.00382,-0.074705891,-0.018616667,-0.144083333,-0.013225,-0.103,Finnegan,0.539967742,281.266129,1.171233184,0.008520874,-0.007141695,-0.004279229,-0.077278405,-0.017643054,-0.139060511,4.655600663,-56.92149647,-20.01001966,-150.0801572
25,Grassland,05CG,346,2015-05-06,1,-11.64426,-115.097684,-0.01164,-0.115097684,-0.018775,-0.145166667,-0.013375,-0.10375,Hand Hills,0.528129032,279.5016129,0.40904552,0.009626047,-0.000245205,-0.004117296,-0.076553349,-0.034320904,-0.21836857,4.553208556,-62.09833641,-20.91752216,-157.3401773
26,Grassland,05CG,346,2015-05-19,2,-7.712832,-96.000898,-0.00771,-0.096000898,-0.018775,-0.145166667,-0.013375,-0.10375,Hand Hills,0.544709677,280.3951613,0.74912459,0.008027069,-0.008830752,-0.004485622,-0.078015013,-0.025681589,-0.18061002,4.707937824,-59.70269738,-21.17295897,-159.3836717
27,Grassland,05CG,366,2015-05-06,1,-6.433195,-86.073791,-0.00643,-0.086073791,-0.018825,-0.145583333,-0.013425,-0.1045,Hand Hills,0.528129032,279.5016129,0.74221203,0.009574881,-0.00108182,-0.004167897,-0.077168841,-0.023499706,-0.162495269,4.477023576,-57.28652941,-19.09934138,-142.7947311
28,Grassland,05CG,379,2015-05-05,1,-7.582892,-93.556232,-0.00758,-0.093556232,-0.018983333,-0.146583333,-0.0135,-0.1045,Craigmyle,0.561096774,279.4403226,0.75610856,0.006581542,-0.015166508,-0.004925138,-0.079534454,-0.024881752,-0.175210898,4.719444878,-57.78283983,-20.66200301,-155.2960241
29,Grassland,05CG,379,2015-05-16,2,-3.384603,-69.40712,-0.00338,-0.06940712,-0.018983333,-0.146583333,-0.0135,-0.1045,Craigmyle,0.583354839,280.5854839,1.477411279,0.004713257,-0.024897793,-0.005410403,-0.081392395,-0.014230741,-0.120767863,4.733385638,-53.40827655,-19.4110077,-145.2880616
30,Grassland,05CH,101,2015-05-03,1,-11.880608,-120.218723,-0.01188,-0.120218723,-0.018483333,-0.142916667,-0.013,-0.10125,Cabin Lake,0.549032258,279.7822581,0.47595507,0.00808784,-0.007081888,-0.004200072,-0.07541192,-0.035090279,-0.231989099,4.815555022,-63.00992934,-22.92705003,-173.4164003
31,Grassland,05CH,101,2015-05-22,2,-5.786482,-91.78466,-0.00579,-0.09178466,-0.018483333,-0.142916667,-0.013,-0.10125,Cabin Lake,0.491225806,282.45,0.955197548,0.013434584,0.01627492,-0.0032134,-0.073760808,-0.023423254,-0.174784523,4.707007825,-64.53108469,-22.63324075,-171.065926
32,Grassland,05CH,101,2015-06-14,3,-3.316837,-76.519474,-0.00332,-0.076519474,-0.018483333,-0.142916667,-0.013,-0.10125,Cabin Lake,0.493354839,288.1467742,1.137298083,0.012594508,0.006271229,-0.003538474,-0.077178615,-0.018062474,-0.141738284,4.423871375,-61.83222103,-20.08658764,-150.6927011
33,Grassland,05CH,109,2015-05-02,1,-9.046355,-103.081727,-0.00905,-0.103081727,-0.018425,-0.142666667,-0.013075,-0.10175,Pollockville,0.579290323,279.1209677,0.689433244,0.005576318,-0.018778354,-0.004779154,-0.076967976,-0.028323722,-0.198264014,4.938448563,-58.3887675,-22.33794496,-168.7035597
34,Grassland,05CH,109,2015-05-14,2,-3.413852,-76.902393,-0.00341,-0.076902393,-0.018425,-0.142666667,-0.013075,-0.10175,Pollockville,0.538967742,281.0112903,1.464997892,0.008787676,-0.00498664,-0.004076107,-0.075677893,-0.017015885,-0.145051533,5.008798872,-59.82238885,-23.34259244,-176.7407395
35,Grassland,05CH,110,2015-05-04,1,-11.343893,-108.828268,-0.01134,-0.108828268,-0.018825,-0.145583333,-0.0133,-0.10325,Sheerness,0.536419355,279.5532258,0.348522286,0.008927433,-0.00352922,-0.004266028,-0.077008451,-0.033705092,-0.207099163,4.393940942,-59.00097771,-19.13473313,-143.077865
36,Grassland,05CH,110,2015-05-21,2,-7.175833,-90.10895,-0.00718,-0.09010895,-0.018825,-0.145583333,-0.0133,-0.10325,Sheerness,0.523548387,281.2887097,0.667304378,0.009959283,-0.000166693,-0.004102095,-0.077299999,-0.025125612,-0.169731586,4.436886079,-58.25210795,-19.15518546,-143.2414836
37,Grassland,05CH,110,2015-06-15,3,-3.804131,-72.64803,-0.0038,-0.07264803,-0.018825,-0.145583333,-0.0133,-0.10325,Sheerness,0.497225806,287.5177419,0.901771869,0.011947521,0.003103698,-0.003905857,-0.079490814,-0.018619524,-0.133264921,4.09034001,-57.10473796,-17.16382962,-127.310637
38,Grassland,05CH,110,2015-06-30,4,-1.968324,-63.336815,-0.00197,-0.063336815,-0.018825,-0.145583333,-0.0133,-0.10325,Sheerness,0.586419355,289.5693548,1.934465905,0.004032399,-0.033553825,-0.00565237,-0.08462481,-0.010134096,-0.098885906,4.354320677,-54.75880327,-17.76316498,-132.1053198
39,Grassland,05CH,110,2015-07-30,5,-1.705658,-58.270799,-0.00171,-0.058270799,-0.018825,-0.145583333,-0.0133,-0.10325,Sheerness,0.583516129,291.866129,1.582634765,0.004088201,-0.034740819,-0.005686315,-0.085495481,-0.009503811,-0.086127667,3.574229495,-52.15886656,-14.04475594,-102.3580475
40,Grassland,05CH,115,2015-05-04,1,-11.729615,-114.171441,-0.01173,-0.114171441,-0.018808333,-0.145,-0.013225,-0.1025,Youngstown,0.558612903,279.7241935,0.39575736,0.007044853,-0.012325439,-0.004657097,-0.077652852,-0.034434537,-0.219166228,4.62439677,-59.92726689,-20.71548761,-155.7239009
41,Grassland,05CH,115,2015-05-21,2,-8.046197,-93.731002,-0.00805,-0.093731002,-0.018808333,-0.145,-0.013225,-0.1025,Youngstown,0.530677419,281.5887097,0.587343302,0.009336247,-0.002980803,-0.004206491,-0.077156445,-0.026795932,-0.176734209,4.427798414,-58.08722477,-19.06029745,-142.4823796
42,Grassland,05CH,115,2015-06-15,3,-2.687347,-68.521119,-0.00269,-0.068521119,-0.018808333,-0.145,-0.013225,-0.1025,Youngstown,0.513483871,287.6080645,1.153994727,0.010387676,-0.003621885,-0.004167008,-0.079608805,-0.015845525,-0.12437071,4.245333492,-57.10117191,-17.87140663,-132.971253
43,Grassland,05CH,115,2015-06-30,4,-1.91879,-61.950141,-0.00192,-0.061950141,-0.018808333,-0.145,-0.013225,-0.1025,Youngstown,0.60983871,289.65,2.429699656,0.002468632,-0.039741968,-0.006035948,-0.085004767,-0.008510955,-0.091386776,4.466217174,-53.37500403,-17.93404042,-133.4723233
44,Grassland,05CH,336,2015-05-02,1,-9.743463,-107.836421,-0.00974,-0.107836421,-0.018383333,-0.141916667,-0.012925,-0.10025,Cabin Lake,0.554322581,279.65,0.614064676,0.00772063,-0.008006519,-0.004209771,-0.074589693,-0.030483589,-0.208781523,4.866327691,-60.43838929,-22.47790526,-169.8232421
45,Grassland,05CH,336,2015-05-14,2,-4.849911,-84.80797,-0.00485,-0.08480797,-0.018383333,-0.141916667,-0.012925,-0.10025,Cabin Lake,0.516064516,281.4274194,1.098124913,0.01105431,0.006492124,-0.003551914,-0.073450644,-0.020999518,-0.163000838,4.841808083,-61.3252008,-22.58418825,-170.673506
