"","Site_ID","Site_Visit","X","Region","SbWtrshd","Date","O","H","Opm","Hpm","P.18O.","P.2H.","Ps.18O.","Ps.2H.","met_station","rh","temp","EI","starO","starH","sslO","sslH","EO","EH","slope","input","IO","IH","X2","per.rain"
"130","90",5,63,"Parkland","05CD","2015-07-24",-9.948575,-97.447225,-0.00995,-0.097447225,-0.019125,-0.14775,-0.013625,-0.10525,"Stettler",0.664645161,291.3725806,0.441621032,-0.001376913,-0.0576874,-0.0074735,-0.090911706,-0.026334467,-0.165466123,4.151425788,-56.14053841,-17.18572509,-127.4858007,-25.5535507202148,70.1495582026928
"131","Baron-01",1,136,"Restored","","2015-05-05",-10.52533,-112.325527,-0.01053,-0.112325527,-0.019116667,-0.147666667,-0.01355,-0.10475,"Stettler",0.554548387,279.333871,0.569948364,0.007091632,-0.012655112,-0.004880785,-0.07977979,-0.031483117,-0.213127698,4.810843638,-61.66734349,-22.47219495,-169.7775596,-25.5896663665771,23.7829403190614
"132","Baron-01",2,137,"Restored","","2015-05-20",-6.933024,-93.94986,-0.00693,-0.09394986,-0.019116667,-0.147666667,-0.01355,-0.10475,"Stettler",0.561451613,280.7758065,0.96930051,0.006385814,-0.017218889,-0.005081896,-0.080949661,-0.023226576,-0.174276216,4.929032599,-59.79166409,-22.7262797,-171.8102376,-25.5896663665771,25.8933372541904
"133","Beltz-03",1,138,"Restored","","2015-05-06",-14.756691,-131.658249,-0.01476,-0.131658249,-0.019166667,-0.148,-0.01365,-0.1055,"Stettler",0.557483871,279.433871,0.270483579,0.006731659,-0.014806932,-0.005021068,-0.080582456,-0.040627389,-0.251426642,4.630092011,-63.31809092,-21.75670409,-164.0536327,-25.6808052062988,-1.28327274071681
"134","Beltz-03",2,139,"Restored","","2015-05-26",-11.782531,-116.43256,-0.01178,-0.11643256,-0.019166667,-0.148,-0.01365,-0.1055,"Stettler",0.509774194,282.733871,0.401794585,0.010801631,0.001670791,-0.004259159,-0.079865004,-0.034131804,-0.215125059,4.415415297,-64.4189678,-20.76083395,-156.0866716,-25.6808052062988,32.6171112324579
"135","Beltz-03",3,140,"Restored","","2015-06-18",-9.432393,-106.363457,-0.00943,-0.106363457,-0.019166667,-0.148,-0.01365,-0.1055,"Stettler",0.560677419,287.4596774,0.650027368,0.005800157,-0.025367507,-0.005439032,-0.084895827,-0.028032234,-0.192224817,4.61564772,-62.837899,-21.52196136,-162.1756909,-25.6808052062988,40.8947794593411
"136","Beltz-03",4,141,"Restored","","2015-06-24",-8.668807,-104.510257,-0.00867,-0.104510257,-0.019166667,-0.148,-0.01365,-0.1055,"Stettler",0.631322581,287.4274194,1.103362607,0.000775408,-0.047085791,-0.006758258,-0.088196006,-0.024227164,-0.188046973,5.369662179,-57.95528591,-25.83519325,-196.681546,-25.6808052062988,34.568291772536
"137","Beltz-03",5,142,"Restored","","2015-07-23",-7.50566,-93.874688,-0.00751,-0.093874688,-0.019166667,-0.148,-0.01365,-0.1055,"Stettler",0.663903226,291.3564516,1.361401795,-0.001360136,-0.057773954,-0.00749034,-0.091132787,-0.019223773,-0.155416053,5.253761102,-54.41894213,-23.45715159,-177.6572127,-25.6808052062988,18.4829990858352
"138","Bergq-07",1,143,"Restored","","2015-05-01",-14.635685,-130.26451,-0.01464,-0.13026451,-0.019125,-0.148,-0.013425,-0.10375,"New Sarepta",0.59216129,278.2306452,0.273147731,0.004307959,-0.024647019,-0.005493917,-0.080879217,-0.040990178,-0.256333364,4.784364358,-60.2214158,-21.83749144,-164.6999315,-25.7307504018148,31.6377208596773
"139","Bergq-07",2,144,"Restored","","2015-05-23",-10.819844,-110.590622,-0.01082,-0.110590622,-0.019125,-0.148,-0.013425,-0.10375,"New Sarepta",0.544032258,281.4596774,0.464500217,0.007938064,-0.009942888,-0.004713875,-0.080008855,-0.032186274,-0.208257935,4.571097162,-61.13135071,-20.74463876,-155.9571101,-25.7307504018148,40.5185501006054
"140","Bergq-07",3,145,"Restored","","2015-06-14",-7.225893,-92.8816,-0.00723,-0.0928816,-0.019125,-0.148,-0.013425,-0.10375,"New Sarepta",0.505387097,287.2919355,0.685172408,0.011010758,-0.000942552,-0.004262885,-0.081327018,-0.024979284,-0.169138256,4.29632296,-61.819185,-19.39131955,-145.1305564,-25.7307504018148,51.5160038584878
"141","Bergq-07",4,146,"Restored","","2015-06-27",-5.15747,-84.060731,-0.00516,-0.084060731,-0.019125,-0.148,-0.013425,-0.10375,"New Sarepta",0.598,288.0112903,1.492534112,0.003182431,-0.03622632,-0.006005994,-0.085842314,-0.017071116,-0.143986494,5.031078759,-58.10036461,-22.9377471,-173.5019768,-25.7307504018148,22.6967329144177
"142","Bergq-07",5,147,"Restored","","2015-08-07",-5.466666,-80.547025,-0.00547,-0.080547025,-0.019125,-0.148,-0.013425,-0.10375,"New Sarepta",0.715419355,290.4758065,1.5,-0.003758921,-0.066184388,-0.008238472,-0.091822177,-0.009628387,-0.112018603,7.56821684,-39.14887889,-113.8276881,-900.6215047,-25.7307504018148,-715.900573484679
"143","Busen-01",1,148,"Restored","","2015-05-01",-16.186251,-139.729701,-0.01619,-0.139729701,-0.01915,-0.148083333,-0.01345,-0.10375,"New Sarepta",0.59216129,278.2306452,0.223569427,0.00428251,-0.024647019,-0.005519179,-0.080917205,-0.044660311,-0.277096549,4.824915661,-61.61431644,-22.55509108,-170.4407286,NA,NA
"144","Busen-01",2,149,"Restored","","2015-05-24",-10.268136,-114.213271,-0.01027,-0.114213271,-0.01915,-0.148083333,-0.01345,-0.10375,"New Sarepta",0.528548387,281.933871,0.627066976,0.009270734,-0.003902709,-0.004466437,-0.079515715,-0.031156951,-0.214245433,4.789218068,-65.02800144,-23.36751702,-176.9401361,NA,NA
