"","Grass_cor","Park_cor","Rest_cor","","",""
"O",0.729063222009297,0.870134486316731,NA,0.001,0.001,0.001
"H",0.859685634053784,0.907426500787484,NA,0.001,0.001,0.001
"EI",0.32408251323375,0.668967521288244,NA,0.001,0.001,0.001
