,O,H,EI,IO,IH
1,0.00,0.00,0.01,0.00,0.00
2,0.00,0.00,0.15,0.00,0.00
3,0.00,0.00,0.23,0.00,0.00
4,0.00,0.00,0.08,0.67,0.67
5,0.52,0.07,0.72,0.12,0.12
,,,,,
Statistic,,,,,
,X1,X2,X3,X4,X5
1,655,522,1200,169,169
2,760,576,1231,185,185
3,369,337,622,203,203
4,226,294,187,251,251
5,400,468,133,189,189
