,O,H,EI,IO,IH
1,0.00,0.00,0.00,0.15,0.15
2,0.00,0.00,0.01,0.03,0.03
3,0.01,0.00,0.08,0.09,0.09
4,0.02,0.01,1.00,0.29,0.29
5,0.15,0.15,NA,NA,NA
,,,,,
,X1,X2,X3,X4,X5
1,522,528,490,359,359
2,394,411,315,302,302
3,69,72,51,50,50
4,36,38,2,4,4
5,10,10,NA,NA,NA
