"","Grass_cor","Park_cor","Rest_cor","","",""
"O",0.967495209560968,0.780208086976635,0.886059492009129,0.001,0.001,0.001
"H",0.980974157705349,0.83350304244378,0.920504147719245,0.001,0.001,0.001
"EI",0.943215814411928,0.631232339326904,0.807678835484124,0.008,0.001,0.001
