"","Grass_cor","Park_cor","Rest_cor","","",""
"O",0.841205320252098,0.770123059430907,0.831547432223239,0.001,0.001,0.001
"H",0.836489411770848,0.822761869023456,0.856254746891038,0.001,0.001,0.001
"EI",0.859763598061203,0.700783938050794,0.78990221226907,0.001,0.001,0.001
