"","152","153","158","165","173","202","203","KIN_1","124","131","133","135","142","145","149","184","98","101","109","110","115","117","186","188"
"1",-128.2,-157.41,-147.53,-139.31,-128.32,-130.32,-143.33,-121.57,-153.85,-155.87,-146.19,-176.06,-155.86,-149.72,-121.02,-146.9758005,-126.79,-145.7,-132.46,-128.64,-140.05,-147.88,-128.24,-129.11
"2",-105.28,-129.19,-130.02,-112.21,-109.45,-105.15,-128.14,-82.95,-140.64,-137.98,-132.95,-149.25,-143.92,-135.86,-119.69,-127.63,-118.101865,-125.68,-111.28,-109.89,-119.72,-124.75,-120.57,-96.04
"3",-97.9,-94.37,-114.16,-92.5,-87.7,-96.8,-113.37,-40.465266462741,-127.65,-121.53,-109.12,-134.13,-122.43,-119.13,-106.58,-116.34,-96.36,-109.26,-104.14,-102.54,-108.01,-105.79,-104.5,-29.248343915569
"4",-30.4453746039365,-93.68,-101.38,-84.15,-93.45,-96.05,-103.33,-40.465266462741,-108.85,-101.88,-93.89,-134.34,-107.88,-111.17,-101.33,-109.29,-82.2,-100.27,-84.05,-95.74,-96,-92.48,-89.52,-97.38
"5",-30.4453746039365,-98.91,-23.921870874704,-28.0352212872489,-77.04,-31.7090991436019,-49.4,-40.465266462741,-86.4,-32.5196839722973,-33.9662195486705,-110.74,-89.59,-86.7,-86.88,-83.9,-83.98,-18.4582561768909,-74.16,-67.96,-83.93,-105.52,-79.73,-83.79
