"","152","153","173","202","131","142","145","184","308","312","345","346","366","379","101","109","110","115","336","338","360","375","384","388","67","90","195","301","377","395","Rum4","31","32","56","190","317","333","351","365","396","398","10","13","18","182","321","344","368","Baron-01","Beltz-03","Bergq-07","Busen-01","Caine-01","Colli-02","Forbs-10","Gilbe-02","Grand-06","Green-03","Heber-03","Hille-03","Holt-04","Hwy53-02","Kerbe-02","Kinvi-03","Kinvi-06","Labyr-02","Labyr-56","Mika-10","Ozmen-05","Parlb-01","Pearl-06","Retta-09"
"1",-5.643127,-7.59502,-9.570106,-7.92166,-7.390795,-12.397644,-14.026239,-10.431958,-9.830948,-11.21,-7.465322,-11.64426,-6.433195,-7.582892,-11.880608,-9.046355,-11.343893,-11.729615,-9.743463,-9.974954,-8.558337,-8.15313,-6.742646,-12.167836,-14.669305,-16.234137,-12.052721,-7.968856,-13.365713,-13.919783,-13.9602,-15.656514,-16.211912,-12.756613,-15.014973,-14.990404,-14.886791,-12.79338,-17.557134,-18.698605,-17.60233,-12.593061,-9.635239,-13.152336,-9.473705,-12.253401,-13.08617,-14.75,-10.52533,-14.756691,-14.635685,-16.186251,-12.27786,-15.260564,-13.505779,-15.859596,-13.647199,-13.870916,-10.041561,-11.883551,-16.056269,-10.121178,-12.326681,-9.440466,-10.478092,-11.374483,-18.008945,-14.163019,-16.674909,-18.267602,-14.401431,-16.673725
"2",8.531248,-4.527548,-3.419488,-2.994967,10.627213,-10.919212,-12.468296,-6.679634,-5.134009,-7.893964,-3.822555,-7.712832,9.574881,-3.384603,-5.786482,-3.413852,-7.175833,-8.046197,-4.849911,-6.656092,-2.314527,1.675526,5.927793,-6.927413,-10.407459,-13.593343,-6.282048,-2.925723,-8.65773,-11.606265,-11.429355,-12.377581,-12.937603,-8.288315,-11.691495,-9.186737,-10.486686,-8.718474,-14.108893,-17.360653,-15.213071,-10.613996,-4.833749,-10.166941,-4.568992,-4.206693,-11.778823,-11.66682,-6.933024,-11.782531,-10.819844,-10.268136,-8.400725,-11.3797,-8.626932,-13.906555,-10.53871,-10.445486,-4.786566,-9.941184,-11.696256,-8.625276,-10.565945,-7.448828,-8.44426,4.28251,-14.403318,-8.883332,-12.617904,-14.45911,-7.133565,-10.383958
"3",8.531248,13.039823,-1.22435,10.666736,10.627213,10.396745,-9.108451,12.928882,9.974405,10.499175,9.74877,9.626047,9.574881,6.581542,-3.316837,8.787676,-3.804131,-2.687347,11.05431,8.57632,7.995254,10.160086,5.927793,-3.439647,6.415581,-8.24575,-6.652691,11.569376,5.395452,-4.80027,-7.749274,5.395619,3.271457,2.742803,-7.956338,7.39601,-9.68905,5.869296,-11.072299,6.464525,-11.319841,-6.532413,7.142678,-7.135059,6.870378,-4.84,-8.018914,-10.721528,7.091632,-9.432393,-7.225893,9.270734,6.598703,-6.622346,-4.03863,-10.888147,-8.644071,-5.29585,-3.032692,-7.502151,-8.852908,-7.024909,-8.869848,-5.653721,-6.406038,4.28251,-8.305704,-6.543904,-9.842123,-13.64891,-11.566095,-7.219704
"4",8.531248,13.039823,5.126686,10.666736,10.627213,10.396745,-7.052488,12.928882,9.974405,10.499175,9.74877,9.626047,9.574881,6.581542,13.434584,8.787676,-1.968324,-1.91879,11.05431,8.57632,7.995254,10.160086,5.927793,-1.046841,6.415581,-6.686003,-5.318088,11.569376,5.395452,11.595019,-7.183083,5.395619,3.271457,2.742803,-4.674817,7.39601,10.985139,5.869296,7.661822,6.464525,-10.750577,-4.407346,7.142678,10.064542,6.870378,13.18153,-7.717735,-11.003863,7.091632,-8.668807,-5.15747,9.270734,6.598703,-4.499448,12.13384,-9.784391,-7.728022,-4.07612,-2.300105,-6.523115,-7.927991,-6.440565,-7.223714,-5.357535,-7.591215,4.28251,-3.863954,-5.467489,-9.239856,-13.385904,3.611415,12.159488
"5",8.531248,13.039823,11.362255,10.666736,10.627213,10.396745,10.371138,12.928882,9.974405,10.499175,9.74877,9.626047,9.574881,6.581542,13.434584,8.787676,-1.705658,10.387676,11.05431,8.57632,7.995254,10.160086,5.927793,13.434584,6.415581,-9.948575,-13.004156,11.569376,5.395452,11.595019,-11.6933,5.395619,3.271457,2.742803,-6.760944,7.39601,-9.590171,5.869296,7.661822,6.464525,-16.286757,-7.399756,-9.828022,10.064542,6.870378,13.18153,-7.67147,-9.477936,7.091632,-7.50566,-5.466666,9.270734,6.598703,9.563787,12.13384,-8.801303,-6.953531,-9.044637,-4.114402,-6.226984,-9.018702,-5.617942,-7.300255,-5.116331,-7.171996,4.28251,11.250402,-10.529127,3.585986,-12.897627,3.611415,12.159488
