"","152","153","173","202","131","142","145","184","308","312","345","346","366","379","101","109","110","115","336","338","360","375","384","388","67","90","195","301","377","395","Rum4","31","32","56","190","317","333","351","365","396","398","10","13","18","182","321","344","368","Baron-01","Beltz-03","Bergq-07","Busen-01","Caine-01","Colli-02","Forbs-10","Gilbe-02","Grand-06","Green-03","Heber-03","Hille-03","Holt-04","Hwy53-02","Kerbe-02","Kinvi-03","Kinvi-06","Labyr-02","Labyr-56","Mika-10","Ozmen-05","Parlb-01","Pearl-06","Retta-09"
"1",1.016561511,0.836494488,0.479819924,0.720815956,0.813229912,0.321303489,0.121896753,0.493473234,0.493582806,0.407782514,0.729134956,0.40904552,0.74221203,0.75610856,0.47595507,0.689433244,0.348522286,0.39575736,0.614064676,0.510330914,0.765660649,0.908181709,0.891190205,0.373037865,0.278164092,0.244240316,0.424632423,0.648015122,0.437160468,0.368694574,0.283252173,0.12491511,0.168921656,0.44521482,0.251592971,0.314702642,0.324743708,0.312139637,0.169609507,0.090869746,0.135171932,0.381409085,0.507541892,0.389746923,0.572484206,0.384509205,0.289739531,0.251013109,0.569948364,0.270483579,0.273147731,0.223569427,0.446030333,0.238270712,0.444945999,0.169304363,0.285065439,0.319444017,0.587690375,0.338364825,0.237167076,0.534674262,0.330773106,0.498017922,0.466374951,0.38672588,0.142499713,0.314258691,0.246668536,0.100577974,0.334287714,0.185795923
"2",1.5,1.036000872,1.021632483,1.238005253,1.5,0.38060975,0.184427592,0.75987719,0.998158983,0.712397543,1.171233184,0.74912459,1.5,1.477411279,0.955197548,1.464997892,0.667304378,0.587343302,1.098124913,0.679674836,1.5,1.5,1.5,0.731529458,0.522317653,0.362312699,1.210059676,1.380166043,0.789774792,0.487709905,0.470028984,0.299335337,0.317433783,0.929825453,0.433325528,0.749000857,0.572256122,0.575860939,0.327911628,0.140661905,0.25791129,0.49802214,0.984511009,0.602382685,1.096024692,1.057612286,0.353482867,0.450719617,0.96930051,0.401794585,0.464500217,0.627066976,0.804453609,0.406270271,0.762684806,0.26505995,0.470393541,0.547690156,1.012376664,0.494778414,0.444426975,0.628351688,0.415078696,0.706464683,0.606732011,1.5,0.260859681,0.661857626,0.480322754,0.240667171,1.178338553,0.55822816
"3",1.5,1.5,1.5,1.5,1.5,1.5,0.39006011,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.137298083,1.5,0.901771869,1.153994727,1.5,1.5,1.5,1.5,1.5,1.056392849,1.5,0.734105767,0.556471613,1.5,1.5,0.926538788,0.638598113,1.5,1.5,1.5,0.754907635,1.5,0.532134504,1.5,0.431959157,1.5,0.394413327,0.836830053,1.5,0.739072962,1.5,0.863227674,0.621192586,0.459328971,1.5,0.650027368,0.685172408,1.5,1.5,0.816970207,1.027670248,0.41236688,0.698775457,1.473035846,1.442102582,1.5,0.646307729,0.697973148,0.514298318,0.97294153,0.86945853,1.5,0.666194356,0.912901998,0.70853739,0.212018245,0.391168497,0.533227352
"4",1.5,1.5,1.5,1.5,1.5,1.5,0.724418285,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.119332205,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.539507757,1.5,1.5,1.5,1.5,1.5,0.791974559,0.470556685,1.5,1.103362607,1.492534112,1.5,1.5,1.5,1.5,0.724671553,1.153822443,1.5,1.5,1.342739871,1.313288046,1.414643984,1.087453856,1.5,0.910039092,1.5,1.5,1.5,1.399726407,0.248790048,1.5,1.5
"5",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.441621032,0.187130646,1.5,1.5,1.5,0.245318467,1.5,1.5,1.5,1.5,1.5,0.996806679,1.5,1.5,1.5,0.085967987,1.020478797,0.401167792,1.5,1.5,1.5,0.657053087,0.440227156,1.5,1.361401795,1.5,1.5,1.5,1.5,1.5,0.760386931,1.5,0.713598247,1.5,1.362977003,1.5,1.5,0.872861359,1.5,1.5,1.5,1.5,0.436498184,1.5,0.235914094,1.5,1.5
