"","O","H","EI","IO","IH"
"1",1.05306095537214e-08,3.06366423367318e-09,4.25825854938278e-05,7.81192539715962e-08,7.81192539715962e-08
"2",2.57297449850777e-06,1.7814698130438e-07,0.0120350808270428,2.98123688359387e-07,2.98123688359387e-07
"3",0.00105523224122466,0.000304658121050763,0.0382760907486828,0.00514869816649788,0.00514869816649788
"4",0.00130418248574255,0.000839581696715016,0.0537731204319745,0.170903520230797,0.170903520230797
"5",0.184572552839883,0.184572552839883,0.217829899009194,NA,NA
