"","67","89","90","194","195","GAD_1","RUM_4","TOL_3","31","32","35","56","190","BATL","JJCOL","MIQ_2","10","13","18","25","30","182","187","200"
"1",-159.81,-144.2,-166.4,-121.24,-149.02,-161.05,-146.56,-119.720238,-150.424803,-146.38,-159.23,-151.74,-161.28,-165.17,-145.17,-141.99,-141.65,-154.35,-161.6,-172.48,-125.99,-136.32,-107.86,-113.52
"2",-123.97,-128.38,-153.34,-109.98,-124.47,-140.96,-125.7,-104.36,-140.28,-141.98,-133.703704,-103.28,-151.91,-157.66,-141.04,-130.26,-129.53,-119.42,-133.21,-148.83,-109.3,-107.36,-100.65,-105.18
"3",-98.41,-122.44,-138.58,-102.93,-103.62,-103.65,-112.73,-95.8,-127.6,-135.9,-36.817914059974,-92.91,-131.8,-146.31,-132.55,-116.05,-118.36,-91.566924,-120.61,-128.61,-90.02,-90.2,-96.27,-100.12
"4",-33.9820747768629,-110.28,-118.52,-100.66,-93.2607655,-21.1587212910317,-104.33,-87.63,-112,-109.23,-36.817914059974,-89.07,-121.77,-131.01,-121.41,-110.38,-103.62,-34.8075322094207,-33.083817005009,-118.59,-103.58,-95.29,-89.5,-92.17
"5",-33.9820747768629,-92.66,-88.41,-86.52,-38.8340911516689,-21.1587212910317,-99.87,-85.49,-37.6576706829227,-49.6087005380728,-36.817914059974,-69.75,-109.51,-29.4265968322972,-103.72,-101.61,-82.8,-34.8075322094207,-33.083817005009,-95.31,-33.6175525549781,-35.9606428358804,-76.55,-80.81
