"","152","153","158","165","173","202","203","KIN_1","124","131","133","135","142","145","149","184","98","101","109","110","115","117","186","188","67","89","90","194","195","GAD_1","RUM_4","TOL_3","31","32","35","56","190","BATL","JJCOL","MIQ_2","10","13","18","25","30","182","187","200"
"1",-128.2,-157.41,-147.53,-139.31,-128.32,-130.32,-143.33,-121.57,-153.85,-155.87,-146.19,-176.06,-155.86,-149.72,-121.02,-146.9758005,-126.79,-145.7,-132.46,-128.64,-140.05,-147.88,-128.24,-129.11,-159.81,-144.2,-166.4,-121.24,-149.02,-161.05,-146.56,-119.720238,-150.424803,-146.38,-159.23,-151.74,-161.28,-165.17,-145.17,-141.99,-141.65,-154.35,-161.6,-172.48,-125.99,-136.32,-107.86,-113.52
"2",-105.28,-129.19,-130.02,-112.21,-109.45,-105.15,-128.14,-82.95,-140.64,-137.98,-132.95,-149.25,-143.92,-135.86,-119.69,-127.63,-118.101865,-125.68,-111.28,-109.89,-119.72,-124.75,-120.57,-96.04,-123.97,-128.38,-153.34,-109.98,-124.47,-140.96,-125.7,-104.36,-140.28,-141.98,-133.703704,-103.28,-151.91,-157.66,-141.04,-130.26,-129.53,-119.42,-133.21,-148.83,-109.3,-107.36,-100.65,-105.18
"3",-97.9,-94.37,-114.16,-92.5,-87.7,-96.8,-113.37,-40.465266462741,-127.65,-121.53,-109.12,-134.13,-122.43,-119.13,-106.58,-116.34,-96.36,-109.26,-104.14,-102.54,-108.01,-105.79,-104.5,-29.248343915569,-98.41,-122.44,-138.58,-102.93,-103.62,-103.65,-112.73,-95.8,-127.6,-135.9,-36.817914059974,-92.91,-131.8,-146.31,-132.55,-116.05,-118.36,-91.566924,-120.61,-128.61,-90.02,-90.2,-96.27,-100.12
"4",-30.4453746039365,-93.68,-101.38,-84.15,-93.45,-96.05,-103.33,-40.465266462741,-108.85,-101.88,-93.89,-134.34,-107.88,-111.17,-101.33,-109.29,-82.2,-100.27,-84.05,-95.74,-96,-92.48,-89.52,-97.38,-33.9820747768629,-110.28,-118.52,-100.66,-93.2607655,-21.1587212910317,-104.33,-87.63,-112,-109.23,-36.817914059974,-89.07,-121.77,-131.01,-121.41,-110.38,-103.62,-34.8075322094207,-33.083817005009,-118.59,-103.58,-95.29,-89.5,-92.17
"5",-30.4453746039365,-98.91,-23.921870874704,-28.0352212872489,-77.04,-31.7090991436019,-49.4,-40.465266462741,-86.4,-32.5196839722973,-33.9662195486705,-110.74,-89.59,-86.7,-86.88,-83.9,-83.98,-18.4582561768909,-74.16,-67.96,-83.93,-105.52,-79.73,-83.79,-33.9820747768629,-92.66,-88.41,-86.52,-38.8340911516689,-21.1587212910317,-99.87,-85.49,-37.6576706829227,-49.6087005380728,-36.817914059974,-69.75,-109.51,-29.4265968322972,-103.72,-101.61,-82.8,-34.8075322094207,-33.083817005009,-95.31,-33.6175525549781,-35.9606428358804,-76.55,-80.81
